"","Close"
"1",31.280001
"2",27.780001
"3",28.530001
"4",28.639999
"5",29.1
"6",29.16
"7",29.15
"8",28.84
"9",28.799999
"10",28.959999
"11",29.67
"12",29.85
"13",30
"14",30.48
"15",31.370001
"16",32.77
"17",32.18
"18",31.91
"19",29.110001
"20",26.76
"21",24.790001
"22",25.469999
"23",25.870001
"24",25.6
"25",22.65
"26",23.1
"27",24.870001
"28",23.58
"29",23.58
"30",25.440001
"31",27.1
"32",27.08
"33",26.790001
"34",27.719999
"35",27.129999
"36",26.93
"37",26.549999
"38",26.9
"39",26.07
"40",27.120001
"41",27.66
"42",26.709999
"43",26.09
"44",25.780001
"45",26.950001
"46",27.440001
"47",27.860001
"48",27.959999
"49",28.75
"50",30.040001
"51",32.25
"52",33.18
"53",30.790001
"54",28.969999
"55",25.15
"56",25.16
"57",24.76
"58",26.23
"59",26.43
"60",27.42
"61",28.4
"62",28.52
"63",28.799999
"64",26.709999
"65",27.299999
"66",27.719999
"67",26.52
"68",25.040001
"69",25.68
"70",24.530001
"71",23.16
"72",23
"73",23.84
"74",24.299999
"75",22
"76",19.459999
"77",19.85
"78",20.889999
"79",20.09
"80",21.5
"81",19
"82",17.6
"83",17
"84",17.059999
"85",16.98
"86",17.98
"87",17.85
"88",16.059999
"89",17.23
"90",17.76
"91",17.549999
"92",17.280001
"93",17.82
"94",18.01
"95",18.040001
"96",18.860001
"97",19.110001
"98",18.67
"99",18.190001
"100",19.42
"101",19.57
"102",24.049999
"103",22.4
"104",21.91
"105",21.790001
"106",21.77
"107",22.84
"108",23.08
"109",24.32
"110",24.5
"111",24.440001
"112",23.950001
"113",24.02
"114",22.969999
"115",22.51
"116",24
"117",25.030001
"118",26.639999
"119",27.370001
"120",30.360001
"121",35.580002
"122",42.189999
"123",39.849998
"124",35.93
"125",32
"126",29.860001
"127",31.040001
"128",28.34
"129",27.43
"130",28.120001
"131",27.040001
"132",28.34
"133",26.450001
"134",26.15
"135",27.799999
"136",26.940001
"137",28.84
"138",28.450001
"139",31.33
"140",31.34
"141",31.190001
"142",32.450001
"143",32.02
"144",34.459999
"145",32.25
"146",32.560001
"147",31.969999
"148",30.309999
"149",30.190001
"150",31.35
"151",33.48
"152",31.26
"153",29.48
"154",30.950001
"155",31.639999
"156",39.93
"157",45.450001
"158",46.740002
"159",42.959999
"160",43.439999
"161",43.970001
"162",43.400002
"163",41.77
"164",43.66
"165",44.099998
"166",45.700001
"167",44.459999
"168",37.470001
"169",37.560001
"170",36.240002
"171",36.560001
"172",37.02
"173",39.150002
"174",37.380001
"175",36.580002
"176",35.16
"177",35.48
"178",45.349998
"179",46.900002
"180",48.419998
"181",44.84
"182",43.32
"183",43.900002
"184",40
"185",39.209999
"186",40.669998
"187",41.209999
"188",47.540001
"189",46.34
"190",43.580002
"191",41.02
"192",39.560001
"193",41.330002
"194",42.060001
"195",43.919998
"196",43.279999
"197",43.810001
"198",42.400002
"199",40.779999
"200",36.790001
"201",36.580002
"202",35.540001
"203",32.889999
"204",35.970001
"205",33.18
"206",33.23
"207",34.110001
"208",31.860001
"209",32.66
"210",33.52
"211",33.889999
"212",36.139999
"213",34.549999
"214",35.639999
"215",35.16
"216",33.849998
"217",36.759998
"218",38.470001
"219",40.849998
"220",42.790001
"221",42.619999
"222",43.990002
"223",44.040001
"224",44.84
"225",47.5
"226",47.27
"227",47.16
"228",47.639999
"229",47.59
"230",49.5
"231",44.02
"232",43.880001
"233",43.84
"234",44
"235",45.91
"236",45.82
"237",45.619999
"238",44.720001
"239",44.220001
"240",41.990002
"241",39.580002
"242",39.400002
"243",38.290001
"244",37.43
"245",36.970001
"246",37.639999
"247",34.720001
"248",33.209999
"249",37.139999
"250",37.759998
"251",37.049999
"252",39.360001
"253",38.509998
"254",38.209999
"255",38.27
"256",39.900002
"257",40.09
"258",40.299999
"259",38.919998
"260",38.59
"261",38.32
"262",37.509998
"263",37.099998
"264",38.040001
"265",40.290001
"266",38.919998
"267",41.849998
"268",41.290001
"269",41.400002
"270",43.060001
"271",41.779999
"272",40.419998
"273",40.349998
"274",43.66
"275",44.02
"276",44.48
"277",45.439999
"278",45.009998
"279",46.220001
"280",46.290001
"281",45.66
"282",44.959999
"283",43.779999
"284",45.490002
"285",45.07
"286",47.27
"287",46.400002
"288",44.220001
"289",43.400002
"290",44.48
"291",46.349998
"292",48.630001
"293",48.91
"294",47.349998
"295",48
"296",50.240002
"297",53.450001
"298",63.759998
"299",66.5
"300",61.349998
"301",62.139999
"302",63.380001
"303",63.66
"304",61.57
"305",61.57
"306",64.379997
"307",62.700001
"308",60.880001
"309",62.529999
"310",62.07
"311",65.230003
"312",64.93
"313",64.269997
"314",68.25
"315",72.900002
"316",73.82
"317",76.279999
"318",80.610001
"319",80.550003
"320",80.599998
"321",79.360001
"322",84.370003
"323",84.029999
"324",83.07
"325",82.440002
"326",81.800003
"327",83.089996
"328",72.059998
"329",81.779999
"330",81.910004
"331",86.870003
"332",86.489998
"333",84.059998
"334",84.879997
"335",83.809998
"336",95.970001
"337",93.010002
"338",94.839996
"339",96.739998
"340",98.029999
"341",102.440002
"342",100.809998
"343",96.269997
"344",97.32
"345",102.019997
"346",104.050003
"347",106.019997
"348",107.300003
"349",110.559998
"350",111.550003
"351",119.199997
"352",119.559998
"353",111.230003
"354",107.470001
"355",116.080002
"356",119.720001
"357",119.620003
"358",120.779999
"359",107.220001
"360",109.669998
"361",114.43
"362",115.599998
"363",112.169998
"364",112.040001
"365",109.760002
"366",108.870003
"367",111.43
"368",118.809998
"369",121.970001
"370",128.119995
"371",131.550003
"372",129.929993
"373",135.009995
"374",127.709999
"375",132.330002
"376",131.520004
"377",121.709999
"378",122.480003
"379",123.650002
"380",128.210007
"381",126.139999
"382",118.800003
"383",120.730003
"384",115.919998
"385",112.989998
"386",108.699997
"387",107.309998
"388",113.099998
"389",107.550003
"390",105.959999
"391",117.010002
"392",116.199997
"393",118.440002
"394",118.550003
"395",108.410004
"396",109.870003
"397",105.540001
"398",106.300003
"399",105.379997
"400",106.660004
"401",107.239998
"402",107.760002
"403",107.279999
"404",107.889999
"405",105.660004
"406",107.120003
"407",107.440002
"408",104.489998
"409",103.970001
"410",105.400002
"411",106.949997
"412",107.559998
"413",107.160004
"414",106.449997
"415",107.57
"416",105.989998
"417",110.959999
"418",107.970001
"419",102.349998
"420",101.480003
"421",92.860001
"422",91.669998
"423",96.599998
"424",98.800003
"425",94.300003
"426",95.760002
"427",94.349998
"428",94.330002
"429",94.800003
"430",99.230003
"431",96.379997
"432",98.57
"433",99.580002
"434",99.089996
"435",98.480003
"436",106.690002
"437",107.730003
"438",107
"439",107.629997
"440",103.510002
"441",103.760002
"442",107.040001
"443",101.809998
"444",98.75
"445",99.32
"446",92.339996
"447",95.739998
"448",96.129997
"449",94.629997
"450",96.139999
"451",99.129997
"452",108.959999
"453",108.5
"454",111.43
"455",113.279999
"456",113.470001
"457",112.779999
"458",115.940002
"459",117.059998
"460",116.879997
"461",115.059998
"462",118.07
"463",119.050003
"464",123.230003
"465",124.199997
"466",122.019997
"467",122.220001
"468",123.699997
"469",122.440002
"470",120.779999
"471",122.629997
"472",121.730003
"473",119.410004
"474",121.599998
"475",122.589996
"476",110.129997
"477",104.25
"478",103.199997
"479",102.769997
"480",99.639999
"481",99.580002
"482",106.639999
"483",103.629997
"484",103.959999
"485",105.580002
"486",105.589996
"487",104.389999
"488",111.139999
"489",107.75
"490",110.440002
"491",112.32
"492",112.43
"493",106.459999
"494",107.489998
"495",109.82
"496",110.68
"497",112.129997
"498",115.120003
"499",115.290001
"500",114.709999
"501",115.110001
"502",114.089996
"503",117.379997
"504",118.419998
"505",113.239998
"506",108.699997
"507",111.879997
"508",110.300003
"509",108.910004
"510",110.18
"511",110.910004
"512",111.120003
"513",111.849998
"514",100.050003
"515",98
"516",99.669998
"517",93.43
"518",96.150002
"519",92.889999
"520",90.660004
"521",96.139999
"522",95.370003
"523",93.519997
"524",84.010002
"525",85.650002
"526",81.370003
"527",81.699997
"528",87.449997
"529",90.019997
"530",90.690002
"531",86.400002
"532",84.43
"533",87.239998
"534",83.669998
"535",84.610001
"536",89.129997
"537",88.660004
"538",89.879997
"539",91.510002
"540",91.870003
"541",92.199997
"542",91.110001
"543",96.68
"544",97.879997
"545",91.07
"546",87.82
"547",88.889999
"548",85.730003
"549",80.790001
"550",73.5
"551",68.279999
"552",70.589996
"553",74.410004
"554",76.089996
"555",72.550003
"556",70.82
"557",72.900002
"558",69.949997
"559",72.169998
"560",73.589996
"561",69.669998
"562",71.129997
"563",76.410004
"564",70.940002
"565",68.190002
"566",63.810001
"567",62.830002
"568",61.48
"569",61.720001
"570",64.849998
"571",80.940002
"572",73.489998
"573",75.440002
"574",72.860001
"575",77.900002
"576",78.410004
"577",77.879997
"578",75.25
"579",75.830002
"580",65.040001
"581",66.120003
"582",66.129997
"583",63.830002
"584",63.459999
"585",59.130001
"586",59.869999
"587",64.040001
"588",61.66
"589",62.470001
"590",64.160004
"591",63.279999
"592",68.519997
"593",69.050003
"594",64.589996
"595",64.279999
"596",64.269997
"597",59.869999
"598",61.889999
"599",49.259998
"600",52.310001
"601",52.400002
"602",54.73
"603",53.740002
"604",48.630001
"605",50.529999
"606",55.41
"607",55.57
"608",56.450001
"609",64.440002
"610",61.34
"611",62.810001
"612",66.019997
"613",63.130001
"614",67.510002
"615",65.099998
"616",64.919998
"617",63.639999
"618",64.43
"619",55.869999
"620",54.75
"621",51.689999
"622",47.419998
"623",51.540001
"624",45.029999
"625",48.759998
"626",50.349998
"627",45.830002
"628",50.549999
"629",52.029999
"630",54.099998
"631",55.27
"632",51.389999
"633",46.099998
"634",43.650002
"635",42.220001
"636",42.310001
"637",37.150002
"638",36.799999
"639",37.939999
"640",38
"641",35.91
"642",36.34
"643",36.48
"644",35.759998
"645",37.759998
"646",39.759998
"647",41.93
"648",37.150002
"649",38.439999
"650",38.959999
"651",38.200001
"652",38.32
"653",37.09
"654",39.709999
"655",38.349998
"656",43.419998
"657",43.799999
"658",42.959999
"659",44.32
"660",47.720001
"661",41.490002
"662",39.549999
"663",37.869999
"664",39.91
"665",41
"666",37.450001
"667",36.740002
"668",35.889999
"669",36.099998
"670",36.25
"671",39.869999
"672",37.07
"673",37.91
"674",36.169998
"675",36.98
"676",37.889999
"677",40.599998
"678",41.830002
"679",43.77
"680",42.720001
"681",48.310001
"682",47.040001
"683",47.400002
"684",45.459999
"685",46.549999
"686",49.52
"687",49.119999
"688",48.580002
"689",50.439999
"690",49.369999
"691",49.189999
"692",54.330002
"693",54.540001
"694",53.209999
"695",52.240002
"696",50.91
"697",50.529999
"698",48.950001
"699",49.740002
"700",46.52
"701",44.16
"702",43.150002
"703",43.580002
"704",47.669998
"705",47.41
"706",45.049999
"707",44.849998
"708",46.82
"709",50.57
"710",51.27
"711",50.509998
"712",45.299999
"713",45.439999
"714",48.580002
"715",48.34
"716",52.630001
"717",52.900002
"718",53.34
"719",55.950001
"720",57.34
"721",60.990002
"722",56.799999
"723",59.68
"724",61.619999
"725",66.089996
"726",56.220001
"727",50.349998
"728",51.970001
"729",48.75
"730",49.66
"731",48.82
"732",47.48
"733",49.299999
"734",47.330002
"735",47.07
"736",48.5
"737",44.27
"738",40.27
"739",43.889999
"740",44.599998
"741",41.900002
"742",42.77
"743",41.470001
"744",43.029999
"745",42.630001
"746",42.75
"747",42.5
"748",44.049999
"749",40.91
"750",41.209999
"751",41.740002
"752",41.709999
"753",40.060001
"754",42.529999
"755",42.970001
"756",42.23
"757",42.310001
"758",43.93
"759",45.560001
"760",43.860001
"761",45.23
"762",45.689999
"763",44.900002
"764",46.02
"765",43.720001
"766",43.119999
"767",40.630001
"768",40.959999
"769",39.900002
"770",39.93
"771",40.419998
"772",41.630001
"773",40.82
"774",39.91
"775",40.549999
"776",39.900002
"777",40.310001
"778",40.990002
"779",38.52
"780",38.080002
"781",38.029999
"782",37.759998
"783",36.619999
"784",36.84
"785",36.740002
"786",36.349998
"787",37.32
"788",46.98
"789",46.66
"790",43
"791",45.799999
"792",45.950001
"793",45.259998
"794",45.889999
"795",46.619999
"796",47.57
"797",49.830002
"798",52.290001
"799",53.029999
"800",53.029999
"801",52.700001
"802",54.549999
"803",54.209999
"804",51.82
"805",52.82
"806",52.84
"807",53.299999
"808",54.400002
"809",53.799999
"810",52.689999
"811",55.02
"812",53.259998
"813",50.450001
"814",50.720001
"815",47.779999
"816",47.52
"817",49.259998
"818",48.32
"819",50.330002
"820",49.119999
"821",49.009998
"822",48.720001
"823",48.720001
"824",48.299999
"825",48.580002
"826",47.84
"827",48.290001
"828",46.099998
"829",47.630001
"830",49.459999
"831",52.290001
"832",54.029999
"833",59.5
"834",63.77
"835",64.220001
"836",66.980003
"837",67.25
"838",61.939999
"839",62.810001
"840",62.540001
"841",64.519997
"842",61.860001
"843",63.830002
"844",63.669998
"845",60.900002
"846",61.369999
"847",58.209999
"848",58.060001
"849",56.970001
"850",49.880001
"851",48.650002
"852",46.720001
"853",47.860001
"854",49.580002
"855",49.91
"856",52.360001
"857",53.110001
"858",55.939999
"859",45.080002
"860",46.029999
"861",46.330002
"862",43.380001
"863",41.369999
"864",43.150002
"865",43.369999
"866",42.419998
"867",42.689999
"868",41.73
"869",43.220001
"870",45.689999
"871",46.02
"872",47.5
"873",42.779999
"874",42.259998
"875",40.560001
"876",41.610001
"877",41.549999
"878",41.32
"879",42.669998
"880",42.029999
"881",42.279999
"882",41.009998
"883",40.68
"884",41.48
"885",40.790001
"886",41.240002
"887",40.509998
"888",43.029999
"889",43.23
"890",43.5
"891",43.900002
"892",44.419998
"893",44.43
"894",44.32
"895",46.009998
"896",46.389999
"897",46.470001
"898",46.380001
"899",46.119999
"900",49.830002
"901",54.09
"902",50.400002
"903",48.990002
"904",47.400002
"905",47.82
"906",50.360001
"907",48.439999
"908",51.740002
"909",51.029999
"910",50.959999
"911",49.93
"912",49.57
"913",51.099998
"914",51.77
"915",52.240002
"916",51.77
"917",51.470001
"918",54.25
"919",54.09
"920",53.66
"921",56.16
"922",53.150002
"923",52.919998
"924",54.130001
"925",55.27
"926",56.77
"927",56.330002
"928",57.200001
"929",57.34
"930",58.400002
"931",56.200001
"932",55.57
"933",53.450001
"934",53.689999
"935",53.84
"936",53.709999
"937",53.639999
"938",53.639999
"939",55.330002
"940",55.509998
"941",50.360001
